[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000777s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000944s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.002199s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000408s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000432s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000540s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000680s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013115s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013228s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000637s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.000630s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000520s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002251s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000605s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000712s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ route_check ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run CheckRoute Behavior [ RunTime:0.019816s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.019983s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000657s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000735s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000397s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000473s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run ParseTemplate Behavior [ RunTime:0.008526s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008638s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run ContentReplace Behavior [ RunTime:0.000405s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run TokenBuild Behavior [ RunTime:0.000438s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000253s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000470s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001786s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000487s ]
[ 2012-11-11T18:58:09+08:00 ] /php/app/index.php?s=/Index/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000561s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001076s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001204s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001834s ]
